srcip,dstip,proto,dur,sbytes,dbytes,service,attack_cat,label
59.166.0.3,149.171.126.7,tcp,0.00426,1064,2260,-,,0
59.166.0.5,149.171.126.1,tcp,0.046869,2438,19138,-,,0
59.166.0.5,149.171.126.3,tcp,0.014809,2542,21294,-,,0
59.166.0.9,149.171.126.0,tcp,0.056018,2974,33374,-,,0
59.166.0.6,149.171.126.2,tcp,0.421066,37382,3380,smtp,,0
59.166.0.8,149.171.126.0,udp,0.001138,146,178,dns,,0
59.166.0.4,149.171.126.3,tcp,0.040816,4238,66694,-,,0
59.166.0.1,149.171.126.3,tcp,0.031971,7812,15362,-,,0
59.166.0.9,149.171.126.8,tcp,0.389715,4128,3080,-,,0
59.166.0.8,149.171.126.4,tcp,0.019976,1036,822,http,,0
59.166.0.8,149.171.126.1,tcp,0.037595,7814,14840,-,,0
59.166.0.1,149.171.126.9,tcp,0.006498,8928,320,ftp-data,,0
59.166.0.7,149.171.126.9,udp,0.001033,146,178,dns,,0
59.166.0.9,149.171.126.8,tcp,0.213076,2048,2410,-,,0
59.166.0.0,149.171.126.3,tcp,0.040846,37430,3276,-,,0
59.166.0.4,149.171.126.0,udp,0.000998,132,164,dns,,0
59.166.0.8,149.171.126.3,tcp,1.009422,1684,10168,-,,0
59.166.0.8,149.171.126.2,udp,0.000992,146,178,dns,,0
59.166.0.7,149.171.126.8,tcp,0.217588,8928,320,ftp-data,,0
59.166.0.3,149.171.126.7,udp,0.001733,528,304,-,,0
59.166.0.9,149.171.126.9,udp,0.001131,146,178,-,,0
59.166.0.0,149.171.126.9,tcp,1.107089,1684,10168,-,,0
59.166.0.8,149.171.126.7,tcp,0.007409,1064,2260,-,,0
59.166.0.7,149.171.126.7,tcp,0.018892,1540,1644,-,,0
59.166.0.4,149.171.126.0,tcp,0.107798,5696,192828,-,,0
149.171.126.18,175.45.176.1,udp,7e-06,264,0,dns,,0
59.166.0.6,149.171.126.4,udp,0.036109,536,304,-,,0
59.166.0.5,149.171.126.0,tcp,0.222408,8928,320,ftp-data,,0
59.166.0.3,149.171.126.5,udp,0.001069,146,178,dns,,0
59.166.0.7,149.171.126.2,tcp,0.870636,2934,3742,ftp,,0
59.166.0.6,149.171.126.8,udp,0.00096,146,178,dns,,0
59.166.0.9,149.171.126.3,tcp,0.578767,1540,1644,-,,0
59.166.0.0,149.171.126.6,udp,0.001077,146,178,dns,,0
59.166.0.4,149.171.126.6,tcp,0.00589,1920,4312,-,,0
59.166.0.1,149.171.126.9,tcp,0.010035,2230,14816,-,,0
149.171.126.18,175.45.176.1,udp,1e-06,264,0,dns,,0
59.166.0.0,149.171.126.5,tcp,0.042563,2854,31402,-,,0
59.166.0.4,149.171.126.6,tcp,0.065959,2974,33118,-,,0
59.166.0.7,149.171.126.9,tcp,0.468084,424,8824,ftp-data,,0
59.166.0.4,149.171.126.3,tcp,1.122993,1580,10168,http,,0
59.166.0.9,149.171.126.0,tcp,0.2358,1540,1644,-,,0
59.166.0.6,149.171.126.5,tcp,0.004777,4208,2456,-,,0
59.166.0.6,149.171.126.4,tcp,1.269996,13350,548216,-,,0
59.166.0.0,149.171.126.4,tcp,0.032018,7818,15172,-,,0
59.166.0.2,149.171.126.1,udp,0.001185,146,178,-,,0
59.166.0.8,149.171.126.3,tcp,0.017371,2750,26584,-,,0
175.45.176.2,149.171.126.14,tcp,0.674443,564,354,-,Reconnaissance,1
59.166.0.0,149.171.126.6,udp,0.000987,132,164,dns,,0
59.166.0.6,149.171.126.8,tcp,0.372448,4304,3080,-,,0
59.166.0.7,149.171.126.1,udp,0.001062,146,178,dns,,0
59.166.0.9,149.171.126.1,tcp,0.184819,37368,3276,smtp,,0
59.166.0.6,149.171.126.7,tcp,1.608661,424,8824,ftp-data,,0
59.166.0.4,149.171.126.7,udp,0.000954,146,178,dns,,0
59.166.0.6,149.171.126.9,tcp,0.368686,8928,424,-,,0
59.166.0.0,149.171.126.6,tcp,0.017921,2542,23154,-,,0
59.166.0.6,149.171.126.9,tcp,0.063146,3286,39694,-,,0
59.166.0.8,149.171.126.6,tcp,0.013012,2230,15236,-,,0
59.166.0.8,149.171.126.6,tcp,0.149134,2766,25066,-,,0
59.166.0.4,149.171.126.4,tcp,0.123703,3598,45458,-,,0
59.166.0.8,149.171.126.0,tcp,12.121096,37386,1641360,-,,0
59.166.0.1,149.171.126.7,tcp,0.012118,2438,19420,-,,0
59.166.0.6,149.171.126.5,tcp,3.684941,9608,12298,ssh,,0
59.166.0.6,149.171.126.7,tcp,1.006406,1580,10168,http,,0
59.166.0.8,149.171.126.9,udp,0.001016,146,178,dns,,0
59.166.0.5,149.171.126.3,tcp,0.004556,8928,320,ftp-data,,0
59.166.0.3,149.171.126.8,tcp,0.396648,4896,3080,-,,0
59.166.0.1,149.171.126.3,udp,0.001032,146,178,dns,,0
59.166.0.7,149.171.126.5,tcp,0.116845,528,8824,ftp-data,,0
59.166.0.0,149.171.126.0,tcp,0.025438,37260,3380,-,,0
59.166.0.9,149.171.126.1,tcp,0.283908,4816,2768,-,,0
59.166.0.4,149.171.126.9,udp,0.001721,536,304,-,,0
59.166.0.2,149.171.126.6,tcp,0.0676,37252,3380,-,,0
59.166.0.6,149.171.126.8,tcp,0.016881,2974,33374,-,,0
59.166.0.9,149.171.126.5,tcp,12.232885,17160,707082,-,,0
59.166.0.9,149.171.126.0,udp,0.004662,568,312,-,,0
59.166.0.6,149.171.126.0,udp,0.001049,146,178,-,,0
59.166.0.2,149.171.126.7,tcp,0.006113,1036,2262,-,,0
59.166.0.1,149.171.126.1,tcp,0.016903,2854,31360,-,,0
59.166.0.8,149.171.126.5,tcp,0.025807,2766,28906,-,,0
59.166.0.5,149.171.126.7,tcp,0.025824,2934,3742,ftp,,0
59.166.0.8,149.171.126.0,tcp,0.048981,4222,61786,-,,0
59.166.0.5,149.171.126.1,tcp,0.133796,3728,5474,ssh,,0
59.166.0.2,149.171.126.7,tcp,0.105087,528,8824,ftp-data,,0
59.166.0.2,149.171.126.2,tcp,0.033993,2646,25418,-,,0
59.166.0.4,149.171.126.7,udp,0.001064,146,178,-,,0
59.166.0.8,149.171.126.5,tcp,0.019055,2542,22432,-,,0
59.166.0.1,149.171.126.4,udp,0.001022,146,178,dns,,0
59.166.0.1,149.171.126.9,tcp,0.034167,3302,37798,-,,0
59.166.0.8,149.171.126.0,tcp,0.22431,8928,320,ftp-data,,0
59.166.0.7,149.171.126.8,udp,0.001053,132,164,dns,,0
59.166.0.4,149.171.126.7,tcp,1.005896,1684,10168,http,,0
59.166.0.4,149.171.126.3,tcp,1.984826,2934,3742,ftp,,0
59.166.0.3,149.171.126.1,tcp,1.006077,1580,10168,http,,0
59.166.0.4,149.171.126.2,udp,0.001156,146,178,dns,,0
59.166.0.2,149.171.126.4,udp,0.004697,568,312,-,,0
59.166.0.6,149.171.126.4,tcp,0.037005,3598,47394,-,,0
59.166.0.0,149.171.126.2,tcp,0.324047,8928,320,ftp-data,,0
10.40.85.30,10.40.85.1,arp,30.978443,184,112,-,,0
59.166.0.7,149.171.126.9,tcp,0.034001,3390,44426,-,,0
59.166.0.4,149.171.126.3,tcp,0.690841,424,8824,ftp-data,,0
59.166.0.9,149.171.126.8,udp,0.001092,146,178,dns,,0
59.166.0.1,149.171.126.5,tcp,0.052022,3806,51422,-,,0
59.166.0.4,149.171.126.2,tcp,0.039911,320,1894,ftp-data,,0
59.166.0.2,149.171.126.1,tcp,0.002817,320,1924,-,,0
59.166.0.0,149.171.126.3,tcp,0.056034,5174,90666,-,,0
59.166.0.1,149.171.126.3,tcp,0.00458,1064,2260,-,,0
59.166.0.9,149.171.126.0,udp,0.001028,146,178,dns,,0
59.166.0.1,149.171.126.6,udp,0.001118,146,178,dns,,0
59.166.0.1,149.171.126.9,tcp,0.027663,2750,27730,-,,0
59.166.0.5,149.171.126.2,tcp,0.008834,2230,14816,-,,0
59.166.0.9,149.171.126.6,tcp,0.397537,12138,501566,-,,0
59.166.0.1,149.171.126.8,tcp,1.789713,2934,3738,ftp,,0
59.166.0.0,149.171.126.0,tcp,1.065891,1684,10168,http,,0
59.166.0.0,149.171.126.3,tcp,0.031945,2542,23278,-,,0
175.45.176.1,149.171.126.18,udp,4e-06,114,0,dns,Generic,1
59.166.0.2,149.171.126.1,udp,0.00107,130,162,-,,0
59.166.0.8,149.171.126.6,tcp,25.585449,17226,1072890,-,,0
59.166.0.7,149.171.126.2,tcp,0.815563,4560,3080,-,,0
59.166.0.4,149.171.126.9,tcp,0.056938,3302,40550,-,,0
59.166.0.1,149.171.126.8,tcp,0.022796,2766,27852,-,,0
59.166.0.8,149.171.126.1,udp,0.001043,130,162,dns,,0
59.166.0.4,149.171.126.4,tcp,1.146088,1580,10168,http,,0
149.171.126.18,175.45.176.1,udp,4e-06,264,0,dns,,0
59.166.0.3,149.171.126.4,tcp,0.014642,2750,27620,-,,0
59.166.0.2,149.171.126.9,tcp,3.139741,13142,548216,-,,0
59.166.0.6,149.171.126.5,udp,0.001106,132,164,dns,,0
59.166.0.9,149.171.126.1,tcp,0.004236,1064,2260,-,,0
59.166.0.6,149.171.126.6,tcp,0.013705,1540,1644,-,,0
59.166.0.0,149.171.126.3,udp,0.001772,544,304,-,,0
59.166.0.3,149.171.126.0,tcp,37.14035,18214,1078900,http,,0
59.166.0.4,149.171.126.0,tcp,0.012857,2558,23532,-,,0
149.171.126.18,175.45.176.1,udp,8e-06,264,0,dns,,0
59.166.0.7,149.171.126.6,tcp,0.011724,2542,21006,-,,0
59.166.0.2,149.171.126.2,tcp,0.88593,2934,3740,ftp,,0
59.166.0.6,149.171.126.5,udp,0.001121,130,162,-,,0
59.166.0.0,149.171.126.7,tcp,1.004759,1580,10168,-,,0
175.45.176.3,149.171.126.19,tcp,0.308193,986,86,-,,0
59.166.0.4,149.171.126.1,tcp,0.022584,3598,45458,-,,0
59.166.0.1,149.171.126.7,tcp,2.187044,25936,49682,ssh,,0
59.166.0.9,149.171.126.0,tcp,0.157344,5486,95318,-,,0
59.166.0.3,149.171.126.7,tcp,1.035906,1580,10168,http,,0
59.166.0.0,149.171.126.2,tcp,2.151895,19514,1072890,http,,0
59.166.0.3,149.171.126.9,tcp,5.590153,25264,1094788,-,,0
59.166.0.9,149.171.126.3,udp,0.001038,146,178,dns,,0
59.166.0.8,149.171.126.2,tcp,3.623006,13870,548216,-,,0
59.166.0.3,149.171.126.7,tcp,1.004926,1580,10168,http,,0
59.166.0.5,149.171.126.1,udp,0.001007,146,178,dns,,0
59.166.0.9,149.171.126.0,tcp,8.128751,18890,1087890,-,,0
59.166.0.9,149.171.126.5,tcp,0.020982,3390,40986,-,,0
59.166.0.0,149.171.126.2,tcp,0.130972,1470,1728,-,,0
59.166.0.0,149.171.126.8,udp,0.000998,130,162,-,,0
59.166.0.5,149.171.126.7,udp,0.001138,146,178,dns,,0
59.166.0.5,149.171.126.5,tcp,0.00397,1036,824,http,,0
59.166.0.6,149.171.126.4,tcp,0.005146,1036,824,http,,0
59.166.0.2,149.171.126.1,tcp,0.011876,2438,19408,-,,0
59.166.0.8,149.171.126.1,tcp,0.257649,8928,320,ftp-data,,0
59.166.0.6,149.171.126.8,tcp,0.00633,1036,2262,-,,0
175.45.176.0,149.171.126.16,tcp,1.194973,16594,1814,-,Exploits,1
59.166.0.4,149.171.126.6,tcp,0.26459,2934,3742,ftp,,0
59.166.0.2,149.171.126.7,tcp,0.047947,3702,45354,-,,0
59.166.0.2,149.171.126.1,tcp,0.033007,3926,54818,-,,0
59.166.0.8,149.171.126.0,tcp,0.057701,3614,43716,-,,0
59.166.0.3,149.171.126.0,udp,0.088413,568,312,-,,0
59.166.0.7,149.171.126.3,tcp,0.090039,2646,24694,-,,0
149.171.126.18,175.45.176.1,udp,5e-06,264,0,dns,,0
59.166.0.1,149.171.126.3,tcp,0.018629,1540,1644,-,,0
59.166.0.9,149.171.126.9,tcp,0.015826,2438,20722,-,,0
59.166.0.2,149.171.126.4,tcp,0.851678,2934,3738,ftp,,0
59.166.0.6,149.171.126.7,udp,0.196127,528,304,-,,0
59.166.0.3,149.171.126.3,tcp,0.006102,1064,2260,-,,0
59.166.0.5,149.171.126.4,udp,0.00115,146,178,dns,,0
59.166.0.9,149.171.126.5,udp,0.004526,568,312,-,,0
59.166.0.2,149.171.126.8,tcp,0.028035,2438,20826,-,,0
59.166.0.9,149.171.126.2,tcp,0.005429,2158,1918,-,,0
59.166.0.8,149.171.126.2,udp,0.004864,568,304,-,,0
59.166.0.7,149.171.126.7,tcp,5.270574,2934,3742,ftp,,0
59.166.0.7,149.171.126.0,tcp,0.211872,2974,33118,-,,0
59.166.0.1,149.171.126.1,udp,0.001086,146,178,dns,,0
59.166.0.1,149.171.126.6,udp,0.00103,130,162,dns,,0
59.166.0.5,149.171.126.0,udp,0.001698,536,304,-,,0
59.166.0.6,149.171.126.2,tcp,0.069765,4966,80850,-,,0
59.166.0.9,149.171.126.3,tcp,0.176915,3806,52378,-,,0
59.166.0.9,149.171.126.7,udp,0.001863,512,304,-,,0
59.166.0.9,149.171.126.5,tcp,0.018279,1540,1644,-,,0
59.166.0.8,149.171.126.7,tcp,0.06485,2542,21720,-,,0
59.166.0.9,149.171.126.5,tcp,0.457378,8928,320,ftp-data,,0
59.166.0.0,149.171.126.5,tcp,13.073197,24848,1094788,-,,0
59.166.0.5,149.171.126.6,tcp,1.363999,13142,548216,-,,0
59.166.0.3,149.171.126.4,tcp,1.006136,1684,10168,http,,0
59.166.0.7,149.171.126.3,udp,0.000977,146,178,dns,,0
59.166.0.2,149.171.126.8,tcp,0.011967,2438,20194,-,,0
59.166.0.6,149.171.126.8,udp,0.00104,146,178,dns,,0
59.166.0.0,149.171.126.2,tcp,1.005945,1580,10168,http,,0
59.166.0.6,149.171.126.1,udp,0.001924,528,304,-,,0
59.166.0.4,149.171.126.1,udp,0.001019,146,178,dns,,0
59.166.0.4,149.171.126.4,tcp,0.040103,4862,82930,-,,0
59.166.0.5,149.171.126.6,tcp,0.408197,1470,1832,-,,0
59.166.0.5,149.171.126.0,tcp,0.006248,3728,5474,ssh,,0
59.166.0.3,149.171.126.1,udp,0.004648,568,304,-,,0
59.166.0.1,149.171.126.9,tcp,0.004931,3832,2456,-,,0
59.166.0.5,149.171.126.5,tcp,2.845397,12518,548216,-,,0
59.166.0.2,149.171.126.7,tcp,0.041727,4550,72372,-,,0
59.166.0.6,149.171.126.4,tcp,0.34283,37288,3380,-,,0
59.166.0.4,149.171.126.8,tcp,0.019985,2750,27730,-,,0
59.166.0.9,149.171.126.7,tcp,0.466452,4840,3080,-,,0
59.166.0.5,149.171.126.8,tcp,0.021678,37222,3276,smtp,,0
59.166.0.7,149.171.126.3,udp,0.001052,146,178,dns,,0
59.166.0.6,149.171.126.9,udp,0.001755,512,304,-,,0
59.166.0.9,149.171.126.9,udp,0.001106,146,178,dns,,0
59.166.0.9,149.171.126.2,tcp,1.008892,1684,10168,http,,0
59.166.0.4,149.171.126.9,tcp,0.279416,8928,320,ftp-data,,0
59.166.0.5,149.171.126.3,tcp,0.176383,8928,320,ftp-data,,0
59.166.0.9,149.171.126.3,udp,0.00105,146,178,dns,,0
59.166.0.0,149.171.126.8,tcp,0.034008,3390,42634,-,,0
59.166.0.4,149.171.126.2,udp,0.001116,146,178,dns,,0
59.166.0.6,149.171.126.0,tcp,0.013674,2438,20718,-,,0
59.166.0.1,149.171.126.5,udp,0.004751,568,304,-,,0
59.166.0.8,149.171.126.5,tcp,6.333549,17226,1008390,http,,0
59.166.0.4,149.171.126.2,tcp,0.005674,1064,2260,-,,0
59.166.0.8,149.171.126.5,tcp,1.049052,1580,10168,http,,0
59.166.0.3,149.171.126.1,tcp,0.04591,320,1864,ftp-data,,0
59.166.0.7,149.171.126.2,tcp,0.024892,3614,49342,-,,0
59.166.0.5,149.171.126.7,tcp,1.344832,1684,10168,http,,0
59.166.0.5,149.171.126.2,tcp,1.361889,7808,15114,-,,0
59.166.0.5,149.171.126.6,tcp,1.253717,1684,10168,http,,0
175.45.176.3,149.171.126.15,udp,9e-06,104,0,-,,0
59.166.0.0,149.171.126.9,tcp,0.016905,1540,1644,-,,0
59.166.0.7,149.171.126.8,udp,0.00498,568,320,-,,0
59.166.0.8,149.171.126.6,udp,0.030418,512,304,-,,0
59.166.0.9,149.171.126.2,tcp,0.045267,4238,66608,-,,0
59.166.0.3,149.171.126.0,tcp,0.182263,1920,4312,-,,0
59.166.0.7,149.171.126.6,udp,0.001809,528,304,-,,0
59.166.0.8,149.171.126.4,tcp,0.003988,528,8824,ftp-data,,0
59.166.0.8,149.171.126.5,tcp,0.048975,2542,22592,-,,0
59.166.0.1,149.171.126.6,udp,0.004406,568,312,-,,0
59.166.0.0,149.171.126.2,tcp,0.062143,4862,82278,-,,0
59.166.0.1,149.171.126.6,tcp,0.006492,424,8824,-,,0
59.166.0.4,149.171.126.6,tcp,0.004418,1470,1728,-,,0
59.166.0.7,149.171.126.5,udp,0.001062,146,178,dns,,0
59.166.0.5,149.171.126.6,tcp,0.019812,1540,1644,-,,0
59.166.0.8,149.171.126.3,udp,0.001792,520,304,-,,0
59.166.0.7,149.171.126.4,udp,0.00109,132,164,dns,,0
59.166.0.7,149.171.126.2,udp,0.004939,568,320,-,,0
59.166.0.5,149.171.126.7,tcp,0.021299,37178,3276,-,,0
59.166.0.3,149.171.126.2,udp,0.000983,146,178,dns,,0
59.166.0.0,149.171.126.1,tcp,1.088876,1684,10168,http,,0
59.166.0.2,149.171.126.0,tcp,0.024491,2646,24004,-,,0
149.171.126.18,175.45.176.1,udp,4e-06,264,0,dns,,0
59.166.0.7,149.171.126.2,udp,0.004804,568,304,-,,0
59.166.0.4,149.171.126.4,tcp,4.091023,19826,1087890,http,,0
59.166.0.5,149.171.126.6,tcp,0.136663,4568,2560,-,,0
59.166.0.2,149.171.126.2,tcp,0.028855,2958,33060,-,,0
59.166.0.9,149.171.126.2,tcp,0.032987,4560,2560,-,,0
59.166.0.5,149.171.126.4,tcp,0.064799,2974,30814,-,,0
59.166.0.0,149.171.126.7,tcp,0.027483,2934,3742,ftp,,0
59.166.0.4,149.171.126.3,udp,0.001096,146,178,dns,,0
59.166.0.9,149.171.126.0,tcp,0.4203,4208,2976,-,,0
59.166.0.4,149.171.126.7,udp,0.000987,130,162,dns,,0
59.166.0.9,149.171.126.7,tcp,0.354523,3598,47394,-,,0
59.166.0.1,149.171.126.3,tcp,1.171656,19410,1087890,http,,0
175.45.176.1,149.171.126.18,tcp,0.810305,564,354,-,Reconnaissance,1
175.45.176.2,149.171.126.13,tcp,0.174589,626,268,-,Backdoors,1
59.166.0.4,149.171.126.1,tcp,0.015888,2438,20826,-,,0
59.166.0.0,149.171.126.5,tcp,0.008932,2230,15228,-,,0
59.166.0.7,149.171.126.4,tcp,0.020002,3182,39076,-,,0
59.166.0.8,149.171.126.9,tcp,0.070268,2542,23508,-,,0
59.166.0.1,149.171.126.4,tcp,0.223505,424,8824,ftp-data,,0
59.166.0.3,149.171.126.6,tcp,0.013791,2230,15258,-,,0
59.166.0.2,149.171.126.4,udp,0.001068,146,178,dns,,0
59.166.0.0,149.171.126.6,udp,0.00106,146,178,dns,,0
59.166.0.0,149.171.126.8,udp,0.004693,568,312,-,,0
59.166.0.2,149.171.126.1,tcp,1.080785,1684,10168,http,,0
175.45.176.3,149.171.126.12,tcp,1.32864,772,798,-, Fuzzers,1
59.166.0.7,149.171.126.1,udp,0.001082,146,178,dns,,0
59.166.0.2,149.171.126.4,udp,0.001773,528,304,-,,0
